"Name","advantage.reward.kl_coeff","reference.update_every_n_steps","local-winrate","global-winrate","self_preference"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE7-1/6-['dating_advice']","0.03","7","0.671875","0.59375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE7-6/6-['tifu']","0.03","7","0.6171875","0.5703125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE7-2/6-['legaladvice']","0.03","7","0.578125","0.515625","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE7-3/6-['offmychest']","0.03","7","0.6640625","0.734375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE7-5/6-['relationship_advice']","0.03","7","0.640625","0.6484375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE3-4/6-['personalfinance']","0.1","3","0.4296875","0.5","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE3-5/6-['relationship_advice']","0.1","3","0.4921875","0.46875","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE3-2/6-['legaladvice']","0.1","3","0.4921875","0.484375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE3-0/6-['loseit']","0.1","3","0.578125","0.4375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE3-1/6-['dating_advice']","0.1","3","0.53125","0.5078125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE3-3/6-['offmychest']","0.1","3","0.546875","0.4453125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.1-SPnull-UE3-6/6-['tifu']","0.1","3","0.4296875","0.5","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE3-6/6-['tifu']","0.03","3","0.4453125","0.453125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE3-5/6-['relationship_advice']","0.03","3","0.4375","0.5234375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE3-3/6-['offmychest']","0.03","3","0.5078125","0.5859375","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE3-4/6-['personalfinance']","0.03","3","0.4140625","0.53125","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE3-2/6-['legaladvice']","0.03","3","0.484375","0.5","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE3-1/6-['dating_advice']","0.03","3","0.4921875","0.4921875","0.1428571492433548"
"Mistral-7B-Base-PPO-KL0.03-SPnull-UE3-0/6-['loseit']","0.03","3","0.5625","0.4375","0.1428571492433548"
